name,state,population,latitude,longitude
Fayetteville,Arkansas,151671,36.0629783315,-94.1572091082
Conway,Arkansas,61995,35.0912805369,-92.4513184018
El Dorado,Arkansas,22416,33.2139274282,-92.6625199806
Davenport,Iowa,255738,41.5539868358,-90.5875303566
Burlington,Iowa,29773,40.8079341828,-91.1127696144
Dubuque,Iowa,62483,42.5009316193,-90.6644507261
Waterloo,Iowa,98347,42.4931543163,-92.342797894
Sioux City,Iowa,90932,42.5003890168,-96.3999921079
Council Bluffs,Iowa,101805,41.2622733755,-95.8608002134
Ames,Iowa,57104,42.0538529654,-93.619722536
Mason City,Iowa,27802,43.1540183706,-93.2008333758
Emporia,Kansas,29048,38.404230773,-96.1813749611
Salina,Kansas,48031,38.8246702261,-97.6071794045
Dodge City,Kansas,25932,37.7600582062,-100.018195029
Coffeyville,Kansas,11760,37.0380609325,-95.6263184019
St. Charles,Missouri,360485,38.7842850942,-90.506165814
Poplar Bluff,Missouri,20662,36.760196756,-90.4026837583
Joplin,Missouri,73763,37.0845955597,-94.5130788592
Columbia,Missouri,398093,38.9520784699,-92.3339095477
St. Joseph,Missouri,78012,39.769031188,-94.8463918475
McCook,Nebraska,8012,40.205593688,-100.626168255
Norfolk,Nebraska,25030,42.028712381,-97.4335982684
North Platte,Nebraska,25247,41.1362862336,-100.770500531
Sidney,Nebraska,6492,41.139800231,-102.978272748
Scottsbluff,Nebraska,25475,41.8675077505,-103.660685874
Chadron,Nebraska,5798,42.8279142447,-103.003077435
Lawton,Oklahoma,91752,34.5990366811,-98.4099727801
Norman,Oklahoma,113525,35.2279130239,-97.3441463641
Muskogee,Oklahoma,39295,35.7482171825,-95.3694348569
Ponca City,Oklahoma,25273,36.707357604,-97.0852732765
Shawnee,Oklahoma,29628,35.3427897329,-96.9337838153
Woodward,Oklahoma,12931,36.4334208364,-99.3976902687
Guymon,Oklahoma,11178,36.6858085317,-101.479501182
Yankton,South Dakota,15580,42.8820194693,-97.3924896665
Brookings,South Dakota,22411,44.3067645458,-96.788030438
Mitchell,South Dakota,15205,43.7142942495,-98.0261977557
Aberdeen,South Dakota,26041,45.4651176138,-98.4864022235
Mobridge,South Dakota,3156,45.5401259553,-100.434707074
Houma,Louisiana,64592,29.5959312124,-90.7194861265
Monroe,Louisiana,101724,32.5096034943,-92.1191939715
Conroe,Texas,41643,30.3120632111,-95.4558636899
Nacogdoches,Texas,30691,31.6037414744,-94.6552665627
Eagle Pass,Texas,53276,28.7110239858,-100.489277386
Edinburg,Texas,150000,26.3031864614,-98.1599622007
Kingsville,Texas,25264,27.5159548126,-97.8558463967
Port Arthur,Texas,56945,29.8989876496,-93.9285925718
Huntsville,Texas,35590,30.7237693471,-95.5505865903
Killeen,Texas,137919,31.117285379,-97.7274821388
Lufkin,Texas,43264,31.338434671,-94.7288796405
Del Rio,Texas,36068,29.3629480174,-100.89638432
San Angelo,Texas,88256,31.4640084015,-100.436696616
Sherman,Texas,40284,33.635994689,-96.6085840269
Beaumont,Texas,111485,30.0862630402,-94.1016827817
Bay City,Texas,18663,28.9811108592,-95.9643597837
Port Lavaca,Texas,11743,28.616016865,-96.6296938495
