id,name,region,pop,gdp,gdppc,year
PER,Peru,America,32971846.0,202014363787.0,0,2020.0
PHL,Philippines,Asia,109581085.0,361489354350.0,0,2020.0
PLW,Palau,Oceania,18001.0,268354900.0,0,2019.0
PNG,Papua New Guinea,Oceania,8947027.0,23591523025.0,0,2020.0
POL,Poland,Europe,37950802.0,594164690895.0,0,2020.0
PRI,Puerto Rico,America,3194034.0,103138300000.0,0,2020.0
PRK,North Korea,Asia,,,0,
PRT,Portugal,Europe,10305564.0,231226743398.0,0,2020.0
PRY,Paraguay,America,7132530.0,35304238230.0,0,2020.0
PSE,Palestine,Asia,4803269.0,15561300000.0,0,2020.0
QAT,Qatar,Asia,2881060.0,146373588867.0,0,2020.0
ROU,Romania,Europe,19286123.0,248715551367.0,0,2020.0
RUS,Russia,Europe,144104080.0,1483497784868.0,0,2020.0
RWA,Rwanda,Africa,12952209.0,10333991892.0,0,2020.0
SAH,Western Sahara,Africa,,,0,
SAU,Saudi Arabia,Asia,34813867.0,700117873249.0,0,2020.0
SDN,Sudan,Africa,43849269.0,26110829190.0,0,2020.0
SEN,Senegal,Africa,16743930.0,24910904236.0,0,2020.0
SGP,Singapore,Asia,5685807.0,339998477930.0,0,2020.0
SLB,Solomon Islands,Oceania,686878.0,1551245526.0,0,2020.0
SLE,Sierra Leone,Africa,7976985.0,3865018883.0,0,2020.0
SLV,El Salvador,America,6486201.0,24638720000.0,0,2020.0
SMR,San Marino,Europe,33864.0,1616369646.0,0,2019.0
SOM,Somalia,Africa,15893219.0,4917607582.0,0,2020.0
SRB,Serbia,Europe,6908224.0,52960134079.0,0,2020.0
SSD,South Sudan,Africa,10715657.0,11997800760.0,0,2015.0
STP,Sao Tome and Principe,Africa,219161.0,472914470.0,0,2020.0
SUR,Suriname,America,586634.0,3807922874.0,0,2020.0
SVK,Slovakia,Europe,5458827.0,104574146248.0,0,2020.0
SVN,Slovenia,Europe,2100126.0,53589609581.0,0,2020.0
SWE,Sweden,Europe,10353442.0,541063604340.0,0,2020.0
SWZ,Swaziland,Africa,1160164.0,3962493093.0,0,2020.0
SYC,Seychelles,Africa,98462.0,1124937500.0,0,2020.0
SYR,Syria,Asia,19878257.0,40405006007.0,0,2007.0
TCD,Chad,Africa,16425859.0,10093118570.0,0,2020.0
TGO,Togo,Africa,8278737.0,7574635241.0,0,2020.0
THA,Thailand,Asia,69799978.0,501794961925.0,0,2020.0
TJK,Tajikistan,Asia,9537642.0,8194150302.0,0,2020.0
TKM,Turkmenistan,Asia,5942094.0,45231428571.0,0,2019.0
TLS,East Timor,Asia,1318442.0,1821000000.0,0,2020.0
TON,Tonga,Oceania,104497.0,512350059.0,0,2019.0
TTO,Trinidad and Tobago,America,1399491.0,21529824769.0,0,2020.0
TUN,Tunisia,Africa,11818618.0,39235672868.0,0,2020.0
TUR,Turkey,Asia,84339067.0,720101212394.0,0,2020.0
TUV,Tuvalu,Oceania,11792.0,48855550.0,0,2020.0
TWN,Taiwan,Asia,,,0,
TZA,Tanzania,Africa,59734213.0,62409748427.0,0,2020.0
UGA,Uganda,Africa,45741000.0,37372032558.0,0,2020.0
UKR,Ukraine,Europe,44134693.0,155582008717.0,0,2020.0
URY,Uruguay,America,3473727.0,53628827440.0,0,2020.0
USA,United States of America,America,329484123.0,20936600000000.0,0,2020.0
UZB,Uzbekistan,Asia,34232050.0,57707189945.0,0,2020.0
VAT,Vatican,Europe,,,0,
VCT,Saint Vincent and the Grenadines,America,110947.0,809681481.0,0,2020.0
VEN,Venezuela,America,30042973.0,482359318768.0,0,2014.0
VNM,Vietnam,Asia,97338583.0,271158442059.0,0,2020.0
VUT,Vanuatu,Oceania,307150.0,854793640.0,0,2020.0
WSM,Samoa,Oceania,198410.0,807027244.0,0,2020.0
YEM,Yemen,Asia,28498683.0,23486269599.0,0,2018.0
ZAF,South Africa,Africa,59308690.0,301923639270.0,0,2020.0
ZMB,Zambia,Africa,18383956.0,19320053859.0,0,2020.0
ZWE,Zimbabwe,Africa,14862927.0,16768513443.0,0,2020.0
